Message Type,Name,Message,Append Special Character,Is Hexadecimal,Is Regular Expression,Channel
Command,Set Red On Channel 1,{=11001},none,FALSE,FALSE,example.set.red.on.channel1
Command,Set Red On Channel 2,{=21001},none,FALSE,FALSE,example.set.red.on.channel2
Command,Set Red On Channel 3,{=31001},none,FALSE,FALSE,example.set.red.on.channel3
Command,Set Red On Channel 4,{=41001},none,FALSE,FALSE,example.set.red.on.channel4
Command,Set Red On Channel 5,{=51001},none,FALSE,FALSE,example.set.red.on.channel5
Command,Set Red On Channel 6,{=61001},none,FALSE,FALSE,example.set.red.on.channel6
Command,Set Red On Channel 7,{=71001},none,FALSE,FALSE,example.set.red.on.channel7
Command,Set Red On Channel 8,{=81001},none,FALSE,FALSE,example.set.red.on.channel8
Command,Set Red On Channel All,{=aff0000ff},none,FALSE,FALSE,example.set.red.on.channel.all
Command,Set Green On Channel 1,{=10111},none,FALSE,FALSE,example.set.green.on.channel1
Command,Set Green On Channel 2,{=20111},none,FALSE,FALSE,example.set.green.on.channel2
Command,Set Green On Channel 3,{=30111},none,FALSE,FALSE,example.set.green.on.channel3
Command,Set Green On Channel 4,{=40111},none,FALSE,FALSE,example.set.green.on.channel4
Command,Set Green On Channel 5,{=50111},none,FALSE,FALSE,example.set.green.on.channel5
Command,Set Green On Channel 6,{=60111},none,FALSE,FALSE,example.set.green.on.channel6
Command,Set Green On Channel 7,{=70111},none,FALSE,FALSE,example.set.green.on.channel7
Command,Set Green On Channel 8,{=80111},none,FALSE,FALSE,example.set.green.on.channel8
Command,Set Green On Channel All,{=a00ffffff},none,FALSE,FALSE,example.set.green.on.channel.all
Command,Set LED Off Channel 1,{=10001},none,FALSE,FALSE,example.set.led.off.channel1
Command,Set LED Off Channel 2,{=20001},none,FALSE,FALSE,example.set.led.off.channel2
Command,Set LED Off Channel 3,{=30001},none,FALSE,FALSE,example.set.led.off.channel3
Command,Set LED Off Channel 4,{=40001},none,FALSE,FALSE,example.set.led.off.channel4
Command,Set LED Off Channel 5,{=50001},none,FALSE,FALSE,example.set.led.off.channel5
Command,Set LED Off Channel 6,{=60001},none,FALSE,FALSE,example.set.led.off.channel6
Command,Set LED Off Channel 7,{=70001},none,FALSE,FALSE,example.set.led.off.channel7
Command,Set LED Off Channel 8,{=80001},none,FALSE,FALSE,example.set.led.off.channel8
Command,Set LED Off Channel All,{=a000000ff},none,FALSE,FALSE,example.set.led.off.channel.all
Command,Poll Channel 1,{?1},none,FALSE,FALSE,example.poll.channel1
Command,Poll Channel 2,{?2},none,FALSE,FALSE,example.poll.channel2
