Message Type,Name,Message,Append Special Character,Is Hexadecimal,Is Regular Expression,Channel
Command,TCP Connect,connect,none,FALSE,FALSE,example.connect
Command,TCP Disconnect,disconnect,none,FALSE,FALSE,example.disconnect
Command,Send Command,#PAYLOAD#,n,FALSE,FALSE,example.send
Command,Gain Input 1,WG40000*#PAYLOAD#AU,n,FALSE,FALSE,example.gain.input1.set
Command,Gain Input 2,WG40001*#PAYLOAD#AU,n,FALSE,FALSE,example.gain.input2.set
Command,Gain Input 3,WG40002*#PAYLOAD#AU,n,FALSE,FALSE,example.gain.input3.set
Command,Gain Input 4,WG40003*#PAYLOAD#AU,n,FALSE,FALSE,example.gain.input4.set
Command,Gain Input 5,WG40004*#PAYLOAD#AU,n,FALSE,FALSE,example.gain.input5.set
Command,Gain Input 6,WG40005*#PAYLOAD#AU,n,FALSE,FALSE,example.gain.input6.set
Command,Gain Input 7,WG40006*#PAYLOAD#AU,n,FALSE,FALSE,example.gain.input7.set
Command,Gain Input 8,WG40007*#PAYLOAD#AU,n,FALSE,FALSE,example.gain.input8.set
Command,Gain Input 9,WG40008*#PAYLOAD#AU,n,FALSE,FALSE,example.gain.input9.set
Command,Gain Input 10,WG40009*#PAYLOAD#AU,n,FALSE,FALSE,example.gain.input10.set
Command,Gain Input 11,WG40010*#PAYLOAD#AU,n,FALSE,FALSE,example.gain.input11.set
Command,Gain Input 12,WG40011*#PAYLOAD#AU,n,FALSE,FALSE,example.gain.input12.set
Command,Gain Telephone Rx,WG40012*#PAYLOAD#AU,n,FALSE,FALSE,example.gain.telephoneRx.set
Command,Pre-Mixer Gain Input 1,WG40100*#PAYLOAD#AU,n,FALSE,FALSE,example.preMixerGain.input1.set
Command,Pre-Mixer Gain Input 2,WG40101*#PAYLOAD#AU,n,FALSE,FALSE,example.preMixerGain.input2.set
Command,Pre-Mixer Gain Input 3,WG40102*#PAYLOAD#AU,n,FALSE,FALSE,example.preMixerGain.input3.set
Command,Pre-Mixer Gain Input 4,WG40103*#PAYLOAD#AU,n,FALSE,FALSE,example.preMixerGain.input4.set
Command,Pre-Mixer Gain Input 5,WG40104*#PAYLOAD#AU,n,FALSE,FALSE,example.preMixerGain.input5.set
Command,Pre-Mixer Gain Input 6,WG40105*#PAYLOAD#AU,n,FALSE,FALSE,example.preMixerGain.input6.set
Command,Pre-Mixer Gain Input 7,WG40106*#PAYLOAD#AU,n,FALSE,FALSE,example.preMixerGain.input7.set
Command,Pre-Mixer Gain Input 8,WG40107*#PAYLOAD#AU,n,FALSE,FALSE,example.preMixerGain.input8.set
Command,Pre-Mixer Gain Input 9,WG40108*#PAYLOAD#AU,n,FALSE,FALSE,example.preMixerGain.input9.set
Command,Pre-Mixer Gain Input 10,WG40109*#PAYLOAD#AU,n,FALSE,FALSE,example.preMixerGain.input10.set
Command,Pre-Mixer Gain Input 11,WG40110*#PAYLOAD#AU,n,FALSE,FALSE,example.preMixerGain.input11.set
Command,Pre-Mixer Gain Input 12,WG40111*#PAYLOAD#AU,n,FALSE,FALSE,example.preMixerGain.input12.set
Command,Pre-Mixer Gain Telephone Rx,WG40112*#PAYLOAD#AU,n,FALSE,FALSE,example.preMixerGain.telephoneRx.set
