Message Type,Name,Message,Append Special Character,Is Hexadecimal,Is Regular Expression,Channel
Command,TCP Connect,connect,none,FALSE,FALSE,tv.tcp.connect
Command,TCP Disconnect,disconnect,none,FALSE,FALSE,tv.tcp.disconnect
Command,Send Command,#PAYLOAD#,r,FALSE,FALSE,tv.send
Command,CHANNEL DOWN,"sendir,1:1,1,36000,1,1,32,32,64,32,32,64,64,32,32,32,32,64,64,32,32,32,32,32,32,64,32,2487",r,FALSE,FALSE,tv.ch+
Command,CHANNEL UP,"sendir,1:1,1,36000,1,1,32,32,64,32,32,64,64,32,32,32,32,64,64,32,32,32,32,32,32,32,32,2487",r,FALSE,FALSE,tv.ch-
Command,DIGIT 0,"sendir,1:1,1,36000,1,1,32,32,64,32,32,64,64,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2487",r,FALSE,FALSE,tv.digit.0
Command,DIGIT 1,"sendir,1:1,1,36000,1,1,32,32,64,32,32,64,64,32,32,32,32,32,32,32,32,32,32,32,32,32,32,64,32,2487",r,FALSE,FALSE,tv.digit.1
Command,DIGIT 2,"sendir,1:1,1,36000,1,1,32,32,64,32,32,64,64,32,32,32,32,32,32,32,32,32,32,32,32,64,64,2487",r,FALSE,FALSE,tv.digit.2
Command,DIGIT 3,"sendir,1:1,1,36000,1,1,32,32,64,32,32,64,64,32,32,32,32,32,32,32,32,32,32,32,32,64,32,32,32,2487",r,FALSE,FALSE,tv.digit.3
Command,DIGIT 4,"sendir,1:1,1,36000,1,1,32,32,64,32,32,64,64,32,32,32,32,32,32,32,32,32,32,64,64,32,32,2487",r,FALSE,FALSE,tv.digit.4
Command,DIGIT 5,"sendir,1:1,1,36000,1,1,32,32,64,32,32,64,64,32,32,32,32,32,32,32,32,32,32,64,64,64,32,2487",r,FALSE,FALSE,tv.digit.5
Command,DIGIT 6,"sendir,1:1,1,36000,1,1,32,32,64,32,32,64,64,32,32,32,32,32,32,32,32,32,32,64,32,32,64,2487",r,FALSE,FALSE,tv.digit.6
Command,DIGIT 7,"sendir,1:1,1,36000,1,1,32,32,64,32,32,64,64,32,32,32,32,32,32,32,32,32,32,64,32,32,32,32,32,2487",r,FALSE,FALSE,tv.digit.7
Command,DIGIT 8,"sendir,1:1,1,36000,1,1,32,32,64,32,32,64,64,32,32,32,32,32,32,32,32,64,64,32,32,32,32,2487",r,FALSE,FALSE,tv.digit.8
Command,DIGIT 9,"sendir,1:1,1,36000,1,1,32,32,64,32,32,64,64,32,32,32,32,32,32,32,32,64,64,32,32,64,32,2487",r,FALSE,FALSE,tv.digit.9
Command,POWER TOGGLE,"sendir,1:1,1,36000,1,1,32,32,64,32,32,64,64,32,32,32,32,32,32,32,32,64,32,32,64,32,32,2487",r,FALSE,FALSE,tv.power
Command,CURSOR ENTER,"sendir,1:1,1,36000,1,1,64,32,32,32,32,64,64,32,32,32,32,32,32,64,64,64,32,32,32,32,32,2487",r,FALSE,FALSE,tv.enter
Command,CURSOR LEFT,"sendir,1:1,1,36000,1,1,64,32,32,32,32,64,64,32,32,32,32,32,32,64,64,64,64,64,32,2487",r,FALSE,FALSE,tv.left
Command,CURSOR RIGHT,"sendir,1:1,1,36000,1,1,64,32,32,32,32,64,64,32,32,32,32,32,32,64,64,64,32,32,64,2487",r,FALSE,FALSE,tv.right
Command,CURSOR UP,"sendir,1:1,1,36000,1,1,64,32,32,32,32,64,64,32,32,32,32,32,32,64,64,32,32,32,32,32,32,2487",r,FALSE,FALSE,tv.up
Command,CURSOR DOWN,"sendir,1:1,1,36000,1,1,64,32,32,32,32,64,64,32,32,32,32,32,32,64,64,32,32,32,32,64,32,2487",r,FALSE,FALSE,tv.down
Command,MENU MAIN,"sendir,1:1,1,36000,1,1,64,32,32,32,32,64,64,32,32,32,32,32,32,64,64,32,32,64,64,2487",r,FALSE,FALSE,tv.menu
Response,TCP Connected,connected,none,FALSE,FALSE,tv.tcp.connected
Response,TCP Disconnected,disconnected,none,FALSE,FALSE,tv.tcp.disconnected
Response,Received,^(.+)$,rn,FALSE,TRUE,tv.received
