Message Type,Name,Message,Append Special Character,Is Hexadecimal,Is Regular Expression,Channel
Command,TCP Connect,connect,none,FALSE,FALSE,relays.tcp.connect
Command,TCP Disconnect,disconnect,none,FALSE,FALSE,relays.tcp.disconnect
Command,Send Command,#PAYLOAD#,r,FALSE,FALSE,relays.send
Command,Get Relay 1,"getstate,1:1",r,FALSE,FALSE,relays.1.get
Command,Get Relay 2,"getstate,1:2",r,FALSE,FALSE,relays.2.get
Command,Get Relay 3,"getstate,1:3",r,FALSE,FALSE,relays.3.get
Command,Get Relay 4,"getstate,1:4",r,FALSE,FALSE,relays.4.get
Command,Open Relay 1,"setstate,1:1,0",r,FALSE,FALSE,relays.1.open
Command,Close Relay 1,"setstate,1:1,1",r,FALSE,FALSE,relays.1.close
Command,Open Relay 2,"setstate,1:2,0",r,FALSE,FALSE,relays.2.open
Command,Close Relay 2,"setstate,1:2,1",r,FALSE,FALSE,relays.2.close
Command,Open Relay 3,"setstate,1:3,0",r,FALSE,FALSE,relays.3.open
Command,Close Relay 3,"setstate,1:3,1",r,FALSE,FALSE,relays.3.close
Command,Open Relay 4,"setstate,1:4,0",r,FALSE,FALSE,relays.4.open
Command,Close Relay 5,"setstate,1:4,1",r,FALSE,FALSE,relays.4.close
Command,Get Sensor 1,"getstate,2:1",r,FALSE,FALSE,sensors.1.get
Command,Get Sensor 2,"getstate,2:2",r,FALSE,FALSE,sensors.2.get
Command,Get Sensor 3,"getstate,2:3",r,FALSE,FALSE,sensors.3.get
Command,Get Sensor 4,"getstate,2:4",r,FALSE,FALSE,sensors.4.get
Response,TCP Connected,connected,none,FALSE,FALSE,relays.tcp.connected
Response,TCP Disconnected,disconnected,none,FALSE,FALSE,relays.tcp.disconnected
Response,Relay 1 Closed,"state,1:1,1",r,FALSE,FALSE,relays.1.state.closed
Response,Relay 1 Open,"state,1:1,0",r,FALSE,FALSE,relays.1.state.open
Response,Relay 2 Closed,"state,1:2,1",r,FALSE,FALSE,relays.2.state.closed
Response,Relay 2 Open,"state,1:2,0",r,FALSE,FALSE,relays.2.state.open
Response,Relay 3 Closed,"state,1:3,1",r,FALSE,FALSE,relays.3.state.closed
Response,Relay 3 Open,"state,1:3,0",r,FALSE,FALSE,relays.3.state.open
Response,Relay 4 Closed,"state,1:4,1",r,FALSE,FALSE,relays.4.state.closed
Response,Relay 4 Open,"state,1:4,0",r,FALSE,FALSE,relays.4.state.open
Response,Sensor 1 Closed,"state,2:1,1",r,FALSE,FALSE,sensors.1.state.closed
Response,Sensor 1 Open,"state,2:1,0",r,FALSE,FALSE,sensors.1.state.open
Response,Sensor 2 Closed,"state,2:2,1",r,FALSE,FALSE,sensors.2.state.closed
Response,Sensor 2 Open,"state,2:2,0",r,FALSE,FALSE,sensors.2.state.open
Response,Sensor 3 Closed,"state,2:3,1",r,FALSE,FALSE,sensors.3.state.closed
Response,Sensor 3 Open,"state,2:1,0",r,FALSE,FALSE,sensors.3.state.open
Response,Sensor 4 Closed,"state,2:4,1",r,FALSE,FALSE,sensors.4.state.closed
Response,Sensor 4 Open,"state,2:4,0",r,FALSE,FALSE,sensors.4.state.open
Response,Received,^(.+)$,r,FALSE,TRUE,relays.received
