Message Type,Name,Message,Append Special Character,Is Hexadecimal,Is Regular Expression,Channel
Command,TCP Connect,connect,none,FALSE,FALSE,example.tcp.connect
Command,TCP Disconnect,disconnect,none,FALSE,FALSE,example.tcp.disconnect
Command,Send Command,#PAYLOAD#,none,FALSE,FALSE,example.send
Command,Switch to Channel ID,SET /SYS/MB/PHY.VideoChannelId=#PAYLOAD#,rn,FALSE,FALSE,example.channelSwitch.set
Command,Get Product Name,GET /.ProductName,rn,FALSE,FALSE,example.productname.get
Command,Set Device Label,SET /SYS/MB.DeviceLabel=#PAYLOAD#,rn,FALSE,FALSE,example.devicelabel.set
Command,Get Serial Number,GET /.SerialNumber,rn,FALSE,FALSE,example.serialnumber.get
Command,Get Package Version,GET /SYS/MB.PackageVersion,rn,FALSE,FALSE,example.packageVersion.get
Command,Reset the Device,CALL /SYS:reset(),rn,FALSE,FALSE,example.reset.device
Command,Restore Factory Settings,CALL /SYS:factoryDefaults(),rn,FALSE,FALSE,example.restore.factorySettings
Command,Get Input Video Signal Presence,GET /MEDIA/VIDEO/I1.SignalPresent,rn,FALSE,FALSE,example.inputVideoSignalPresence.get
Command,Get Resolution of the Input Video Signal,GET /MEDIA/VIDEO/I1.Resolution,rn,FALSE,FALSE,example.inputVideoResolution.get
Command,Get Video Quality Mode,GET /MEDIA/VIDEO/QUALITY.QualityMode,rn,FALSE,FALSE,example.videoQualityMode.get
Command,Set Video Quality Mode,SET /MEDIA/VIDEO/QUALITY.QualityMode=#PAYLOAD#,rn,FALSE,FALSE,example.videoQualityMode.set
Command,Get HDCP State,GET /MEDIA/VIDEO/I1.HdcpState,rn,FALSE,FALSE,example.hdcpState.get
Command,Get Output Resolution,GET /MEDIA/VIDEO/O1.Resolution,rn,FALSE,FALSE,example.outputResolution.get
Command,Get Scaling Mode of Video Output,GET /MEDIA/VIDEO/O1/SCALER.ScalingMode,rn,FALSE,FALSE,example.scalingModeOutput.get
Command,Set Scaling Mode of Video Output,SET /MEDIA/VIDEO/O1/SCALER.ScalingMode=#PAYLOAD#,rn,FALSE,FALSE,example.scalingModeOutput.set
Command,Set Scaling Output Resolution,SET /MEDIA/VIDEO/O1/SCALER.OutputResolution=#PAYLOAD#,rn,FALSE,FALSE,example.scalingResolutionOutput.set
Command,Get Scaling Signal Type,GET /MEDIA/VIDEO/O1/SCALER.SignalType,rn,FALSE,FALSE,example.scalingSignalScalingType.get
Command,Set Scaling Signal Type,SET /MEDIA/VIDEO/O1/SCALER.SignalType=#PAYLOAD#,rn,FALSE,FALSE,example.scalingSignalScalingType.set
Command,Get Audio Input Selection Mode,GET /MEDIA/AUDIO.ioSelect,rn,FALSE,FALSE,example.audioInputSelection.get
Command,Set Audio Input Selection Mode,SET /MEDIA/AUDIO.ioSelect=#PAYLOAD#,rn,FALSE,FALSE,example.audioInputSelection.set
Command,Get Audio Input Presence,GET /MEDIA/AUDIO/I1.SignalPresent,rn,FALSE,FALSE,example.audioInputPresence.get
Command,Get Audio Analog Volume dB,GET /MEDIA/AUDIO/I1.AnalogVolumedB,rn,FALSE,FALSE,example.audioInputVolumedB.get
Command,Set Audio Analog Volume dB,SET /MEDIA/AUDIO/I1.AnalogVolumedB=#PAYLOAD#,rn,FALSE,FALSE,example.audioInputVolumedB.set
Command,Get Audio Analog Volume Mute,GET /MEDIA/AUDIO/I1.AnalogMute,rn,FALSE,FALSE,example.audioInputVolumeMute.get
Command,Set Audio Analog Volume Mute,SET /MEDIA/AUDIO/I1.AnalogMute=#PAYLOAD#,rn,FALSE,FALSE,example.audioInputVolumeMute.set
Command,Set Video Wall Name,SET /MEDIA/VIDEO/O1/VIDEOWALL.Name=#PAYLOAD#,rn,FALSE,FALSE,example.videoWallName.set
