Message Type,Name,Message,Append Special Character,Is Hexadecimal,Is Regular Expression,Channel
Command,TCP Connect,connect,none,FALSE,FALSE,example.connect
Command,TCP Disconnect,disconnect,none,FALSE,FALSE,example.disconnect
Command,Send Hex Command,#PAYLOAD#,none,TRUE,FALSE,example.send.hex
Command,Send Password,SS-CDR250N,rn,FALSE,FALSE,example.password
Command,Power On,0x30 0x37 0x35 0x30 0x30 0x0D 0x0A,none,TRUE,FALSE,example.power.on
Command,Power Off,0x30 0x37 0x35 0x31 0x31 0x0D 0x0A,none,TRUE,FALSE,example.power.off
Command,Reset,0x30 0x37 0x35 0x38 0x30 0x0D 0x0A,none,TRUE,FALSE,example.reset
Command,Poll,0x30 0x30 0x3F 0x0D 0x0A,none,TRUE,FALSE,example.poll
Command,Stop,0x30 0x31 0x30 0x0D 0x0A,none,TRUE,FALSE,example.stop
Command,Play,0x30 0x31 0x32 0x0D 0x0A,none,TRUE,FALSE,example.play
Command,Pause,0x30 0x31 0x34 0x30 0x31 0x0D 0x0A,none,TRUE,FALSE,example.pause
Command,Get Current Transport Mode,0x30 0x35 0x30 0x0D 0x0A,none,TRUE,FALSE,example.poll.transport.mode
Command,Play Continuous,0x30 0x34 0x44 0x30 0x30 0x0D 0x0A,none,TRUE,FALSE,example.mode.continuous
Command,Play Single,0x30 0x34 0x44 0x30 0x31 0x0D 0x0A,none,TRUE,FALSE,example.mode.single
Command,Play Program,0x30 0x34 0x44 0x30 0x34 0x0D 0x0A,none,TRUE,FALSE,example.mode.program
Command,Play Random,0x30 0x34 0x44 0x30 0x36 0x0D 0x0A,none,TRUE,FALSE,example.mode.random
Command,Get Current Play Mode,0x30 0x34 0x45 0x0D 0x0A,none,TRUE,FALSE,example.poll.play.mode
Command,Direct Track Search,0x30 0x32 0x33 #PAYLOAD# 0x0D 0x0A,none,TRUE,FALSE,example.track.search
Command,Direct Track 1,0x30 0x32 0x33 0x30 0x31 0x30 0x30 0x0D 0x0A,none,TRUE,FALSE,example.track.search.1
Command,Get Current Track,0x30 0x35 0x35 0x0D 0x0A,none,TRUE,FALSE,example.poll.track.number
Response,TCP Connected,connected,none,FALSE,FALSE,example.connected
Response,TCP Disconnected,disconnected,none,FALSE,FALSE,example.disconnected
Response,Enter Password,Enter Password,rn,FALSE,FALSE,example.password.request
Response,Password Failed,Password Failed,rn,FALSE,FALSE,example.password.failed
Response,Login Successful,Login Successful,rn,FALSE,FALSE,example.password.success
Response,State Changed,0x30 0x46 0x36 0x30 0x30 0x0D 0x0A,none,TRUE,FALSE,example.state.changed
Response,State Changed,0x30 0x46 0x36 0x30 0x30 0x0D 0x0A 0x30 0x46 0x36 0x30 0x30 0x0D 0x0A,none,TRUE,FALSE,example.state.changed
Response,Current Track Number,^0x30 0x44 0x35 0x30 0x30 (.+) 0x0D 0x0A$,none,TRUE,TRUE,example.current.track.number
Response,Transport Mode Playing,0x30 0x44 0x30 0x31 0x30 0x0D 0x0A,none,TRUE,FALSE,example.transport.stopped
Response,Transport Mode Stop,0x30 0x44 0x30 0x31 0x31 0x0D 0x0A,none,TRUE,FALSE,example.transport.playing
Response,Transport Mode Pause,0x30 0x44 0x30 0x31 0x32 0x0D 0x0A,none,TRUE,FALSE,example.transport.paused
Response,Play Mode Continuous,0x30 0x43 0x45 0x30 0x30 0x0D 0x0A,none,TRUE,FALSE,example.current.mode.continuous
Response,Play Mode Single,0x30 0x43 0x45 0x30 0x31 0x0D 0x0A,none,TRUE,FALSE,example.current.mode.single
Response,Play Mode Program,0x30 0x43 0x45 0x30 0x34 0x0D 0x0A,none,TRUE,FALSE,example.current.mode.program
Response,Play Mode Random,0x30 0x43 0x45 0x30 0x36 0x0D 0x0A,none,TRUE,FALSE,example.current.mode.random
Response,Invalid Command,0x30 0x46 0x32 0x0D 0x0A,none,TRUE,FALSE,example.invalid.command
Response,Received,^(.+)$,none,TRUE,TRUE,example.received.hex
